Pretrain models save dir: ./pretrain_models_cifar10
Namespace(dataset='cifar10', data_dir='./data', imagenet_dir='', nclass=10, dseed=0, size=32, phase=-1, nclass_sub=-1, load_memory=True, net_type='convnet', norm_type='instance', depth=3, width=1.0, pretrain_epochs=60, batch_real=64, batch_size=64, lr=0.01, momentum=0.9, weight_decay=0.0005, seed=0, pretrain_amount=5, mixup='cut', beta=1.0, mix_p=0.5, rrc=True, dsa=True, dsa_strategy='color_crop_flip_scale_rotate', aug_type='color_crop_cutout', verbose=False, workers=8, ipc=-1, reproduce=True, gpu=1, bottleneck=True, data_name='cifar10', pretrain_dir='./pretrain_models_cifar10', niter=10000, nch=3, augment=False)
Start training 5 models for 60 epochs
<Pretraining  1-th model>...[Epoch 58] Train acc: 75.4 (loss: 0.862), Val acc: 86.2
<Pretraining  1-th model>...[Epoch 59] Train acc: 75.8 (loss: 0.854), Val acc: 86.4
<Pretraining  2-th model>...[Epoch  0] Train acc: 36.4 (loss: 1.832), Val acc: 59.2
<Pretraining  2-th model>...[Epoch  1] Train acc: 47.8 (loss: 1.548), Val acc: 64.8
<Pretraining  2-th model>...[Epoch  2] Train acc: 52.0 (loss: 1.442), Val acc: 69.6
<Pretraining  2-th model>...[Epoch  3] Train acc: 54.9 (loss: 1.373), Val acc: 70.9
<Pretraining  2-th model>...[Epoch  4] Train acc: 59.1 (loss: 1.272), Val acc: 72.6
<Pretraining  2-th model>...[Epoch  5] Train acc: 57.9 (loss: 1.308), Val acc: 73.8
<Pretraining  2-th model>...[Epoch  6] Train acc: 60.4 (loss: 1.233), Val acc: 76.3
<Pretraining  2-th model>...[Epoch  7] Train acc: 61.1 (loss: 1.226), Val acc: 75.6
<Pretraining  2-th model>...[Epoch  8] Train acc: 62.5 (loss: 1.194), Val acc: 75.9
<Pretraining  2-th model>...[Epoch  9] Train acc: 62.6 (loss: 1.180), Val acc: 77.3
<Pretraining  2-th model>...[Epoch 10] Train acc: 62.4 (loss: 1.188), Val acc: 77.5
<Pretraining  2-th model>...[Epoch 11] Train acc: 63.7 (loss: 1.150), Val acc: 77.9
<Pretraining  2-th model>...[Epoch 12] Train acc: 64.2 (loss: 1.120), Val acc: 78.3
<Pretraining  2-th model>...[Epoch 13] Train acc: 62.8 (loss: 1.154), Val acc: 79.4
<Pretraining  2-th model>...[Epoch 14] Train acc: 65.3 (loss: 1.115), Val acc: 78.7
